,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
87,Apartamento,Tijuca,2,1,0,80,1800.0,1100.0,84.0
88,Casa de Vila,Piedade,2,1,0,70,1300.0,,
89,Apartamento,Tijuca,3,1,0,172,2700.0,780.0,170.0
90,Apartamento,Freguesia (Jacarepaguá),4,3,2,261,2800.0,2535.0,3900.0
91,Apartamento,Ipanema,3,1,1,145,8000.0,14768.0,4394.0
92,Apartamento,Olaria,2,1,0,53,1100.0,160.0,
93,Quitinete,Copacabana,1,0,0,29,1200.0,460.0,
94,Apartamento,Botafogo,2,1,1,83,2800.0,560.0,138.0
95,Apartamento,Botafogo,2,1,1,80,4300.0,1178.0,187.0
96,Apartamento,Lagoa,3,1,2,250,13900.0,2500.0,
97,Apartamento,Leblon,3,2,1,147,7500.0,1028.0,247.0
98,Apartamento,Copacabana,2,1,0,67,3500.0,950.0,160.0
99,Apartamento,Ipanema,3,1,1,150,25000.0,1616.0,4255.0
100,Apartamento,Barra da Tijuca,4,3,2,220,7500.0,3911.0,716.0
101,Apartamento,Catete,2,0,0,77,2400.0,1130.0,140.0
102,Apartamento,Jardim Carioca,2,1,0,55,1350.0,430.0,47.0
103,Casa,Maracanã,8,3,5,259,7000.0,,
104,Apartamento,Leblon,3,1,0,85,3900.0,800.0,1211.0
105,Apartamento,Catete,2,0,0,75,3350.0,455.0,
106,Apartamento,Recreio dos Bandeirantes,3,2,1,90,1200.0,880.0,144.0
107,Casa,Benfica,1,0,0,33,1200.0,,
108,Quitinete,Glória,1,0,0,16,1400.0,300.0,210.0
109,Apartamento,Praça Seca,2,0,0,80,900.0,350.0,
110,Apartamento,Vila Isabel,1,0,0,37,1000.0,285.0,24.0
111,Apartamento,Copacabana,3,0,0,150,5500.0,1780.0,420.0
112,Apartamento,Lagoa,3,1,1,127,5000.0,1540.0,370.0
113,Apartamento,Freguesia (Jacarepaguá),2,1,1,74,1700.0,652.0,104.0
114,Apartamento,Barra da Tijuca,3,2,1,128,3000.0,1384.0,324.0
115,Apartamento,Gávea,3,1,1,160,8000.0,2000.0,
116,Apartamento,Copacabana,3,1,1,200,6200.0,1800.0,420.0
117,Apartamento,Barra da Tijuca,2,1,0,58,1500.0,666.0,106.0
118,Apartamento,Botafogo,3,1,1,100,5500.0,1300.0,220.0
119,Apartamento,Barra da Tijuca,4,2,3,320,5500.0,2700.0,800.0
120,Apartamento,Rocha Miranda,2,1,0,50,1100.0,,
121,Apartamento,Recreio dos Bandeirantes,2,1,1,75,1000.0,1040.0,112.0
122,Apartamento,Ipanema,2,0,2,52,10000.0,3689.0,393.0
123,Apartamento,Leblon,4,4,4,380,40000.0,4700.0,1500.0
124,Apartamento,Recreio dos Bandeirantes,3,2,1,104,2200.0,740.0,258.0
125,Apartamento,Barra da Tijuca,2,1,1,72,2600.0,1700.0,237.0
126,Apartamento,Taquara,2,1,0,75,1200.0,330.0,75.0
127,Apartamento,Botafogo,4,1,1,190,5500.0,1720.0,350.0
128,Quitinete,Catete,0,0,0,20,700.0,500.0,28.0
129,Apartamento,Ipanema,4,6,1,700,65000.0,8860.0,5699.0
130,Apartamento,Méier,2,0,0,56,899.0,402.0,135.0
131,Apartamento,Freguesia (Jacarepaguá),2,1,1,71,1200.0,600.0,54.0
132,Apartamento,Lagoa,3,1,2,105,3600.0,1100.0,281.0
133,Apartamento,Copacabana,3,1,1,500,15000.0,2580.0,366.0
134,Apartamento,Tijuca,3,0,0,87,1600.0,650.0,100.0
135,Apartamento,Botafogo,1,0,0,35,1500.0,470.0,50.0
136,Apartamento,Barra da Tijuca,1,1,1,65,2350.0,,
137,Apartamento,Ipanema,3,3,1,220,22000.0,4000.0,1200.0
138,Apartamento,Copacabana,3,0,0,100,3300.0,850.0,90.0
139,Apartamento,Barra da Tijuca,3,1,2,93,2500.0,1100.0,
140,Apartamento,Engenho Novo,2,2,0,78,800.0,915.0,55.0
141,Apartamento,Barra da Tijuca,2,1,1,85,2500.0,1573.0,197.0
142,Apartamento,Leblon,2,1,1,115,7500.0,980.0,270.0
143,Apartamento,Botafogo,2,1,1,70,3700.0,1133.0,147.0
144,Apartamento,Freguesia (Jacarepaguá),2,1,1,95,1600.0,650.0,
145,Apartamento,Barra da Tijuca,4,4,4,392,30000.0,7000.0,3000.0
146,Casa Comercial,Botafogo,0,0,0,220,16000.0,,
147,Apartamento,Campo Grande,2,0,0,60,1200.0,570.0,
148,Apartamento,Flamengo,1,0,0,40,1900.0,430.0,54.0
149,Apartamento,Engenho de Dentro,3,1,1,61,1400.0,498.0,
150,Apartamento,Copacabana,3,2,1,250,7000.0,1500.0,434.0
151,Flat,Copacabana,1,1,0,63,3600.0,1215.0,
152,Flat,Leblon,1,0,1,50,4500.0,1300.0,150.0
